queries	명확도	Emojiness	긍정/부정 척도
우리 얘기 좀 해	1	1	3
자기소개서 쓰기 너무 힘들다	1	1	2
휴가까지 3일 남았지롱	1	1	6
넌 토익 몇점이야?	0	1	
연휴가 끝나간다	1	1	3
너 좋아	1	1	6
나 오늘 술집에서 신분증 검사했어	1	1	5
너 나 싫어하지	1	1	2
나 좋아하는 사람 생겼어	0	1	
왜자꾸 이상한 말만 해	1	1	3
내가 재밌는 얘기 해줄까?	1	1	5
남친이랑 그만 좀 싸우고 싶다	1	1	2
점심 때 뭐 먹지?	0	1	
독일 가서 맥주 마시고 싶다	0	1	
지하철에서 회사사람 만났다	0	1	
헐 나 지갑 잃어버렸어	1	1	2
넌 종교가 뭐야?	1	1	4
이번 시험 진짜 잘봐야되는데	1	1	3
오늘 약속 취소됐어	0	1	
내가 너 사랑하는거 알지?	1	1	6
밖에 바람 진짜 많이 분다	1	0	4
겨울왕국 봤어?	1	1	4
수능 너무 걱정돼	1	1	1
저녁을 먹을까 말까?	1	1	4
배불러 죽을 것 같아	1	1	3
아주 징그럽게 고맙네요	1	1	3
나 충치 생겼대	1	1	3
공부하기 싫다	1	1	3
내가 뚱뚱한 편인가?	1	1	3
내년엔 꼭 퇴사하고 세계여행 갈거야	0	1	
넌 안 졸려?	1	1	4
아 예비군 또 가야해	1	1	3
행복은 무슨	1	1	3
귀뚜라미 소리 좋다	1	1	5
사고싶은게 너무 많아	0	1	
와 집에 에어컨 안나와	1	1	3
난 너랑 얘기하는 거 재밌어	1	1	6
할머니가 아프시대	1	0	2
뱃고동 소리도 울리지 마세요	0	1	
오늘 사무실에 아무도 없넹	0	1	
그냥 죽고싶다	1	1	1
나 되게 취했어	0	1	
말 좀 예쁘게 해라	1	1	2
라면이나 먹을까	1	1	4
이제 아침에 일찍 일어나야겠어	0	1	
한약 너무 쓰고 맛없어	1	1	3
너라도 있어서 진짜 다행이야	1	1	6
대충 라면으로 때워야겠어	0	1	
감자탕 좋아해?	1	1	4
넌 겨울 좋아해?	1	1	4
그냥 울고 싶다	1	1	1
화장하는거 너무 귀찮아	1	1	3
친구 부모님이 돌아가셨대	1	0	2
아 잠이 너무 안온다	1	1	3
이제 다신 이렇게 술 안 마실래	1	1	2
담배좀 끊고 싶다	1	1	3
채용공고 나왔는데 지원해볼까?	0	1	
언제 한번 대학로로 연극 보러가고 싶네	0	1	
나 앞머리 진짜 많이 길었다	0	1	
초밥먹고 싶다	1	1	5
집에 혼자 있어	0	1	
나 완전 멘탈 나갔어	1	1	2
나 턱선이 실종됐어	1	1	3
옷에 고기냄새 다 배였다	1	1	3
나 모의고사 점수 진짜 많이 올랐다	1	1	6
라면 먹고 갈래?	0	1	
오늘 회사 분위기 진짜 살벌했어	1	1	3
말 안해	0	1	
난 왜 이모양 이꼴일까	1	1	3
나 속상한 일이 있어	1	1	2
남친이 삐졌어	1	1	2
월급날 언제오냐	0	1	
넌 정치에 관심 많아?	0	1	
너 춤 잘춰?	1	1	4
내일 엄마랑 데이트한다	1	1	5
김과장 너무 싫다	1	1	2
할 일이 없어	0	1	
넌 나한테 별로 관심이 없는 것 같아	1	1	3
난 지금 드라마 본당	1	1	5
내일 아침에 잘 일어날 수 있을까?	1	1	3
응 당연하지 잡혀있는 약속같은건 없따	0	1	
자퇴하고 싶다	0	1	
역시 치킨엔 맥주지	1	1	5
머리카락이 너무 상했어	1	1	3
침대에서 뒹굴거리니까 좋다	1	1	6
기분 좋은 걸 숨길수가 없네요	1	1	6
아무것도 하기싫은데 할게 많아	1	1	2
밖에 번개치고 무서워	1	1	2
아 파일 다 날라갔어 미치겠다	1	1	2
생일 어제였어요	0	1	
일하는거 너무 스트레스받아	1	1	2
왜 자꾸 거짓말 해?	1	1	2
뭐하고 있어?	1	1	4
나 이직할까?	0	1	
나 외로워	1	1	2
지금 택시타면 길 엄청 막히겠지?	1	1	3
나 조언좀 해줄래?	0	1	
크리스마스에 눈 오면 좋겠다	1	1	5
백만년만에 영화보러 간다	1	1	6
난 절대로 애기 안낳을거야	0	1	
난 밤에 집중이 잘되는 것 같아	1	1	5
클라이밍 해보고 싶다	1	1	5
나 어쩌면 수술해야할 수도 있대	1	1	3
이제 진짜 봄인가보다 꽃이 다 폈네	1	1	6
여자친구랑 벚꽃 보러가고 싶다	0	1	
차 사고싶어	0	1	
난 아무래도 햄버거성애자인것 같아	0	1	
나 칭찬해줘	1	1	5
내일은 남자친구랑 놀아야지	1	1	6
너랑 얘기하고 있으면 기분이 좋아	1	1	6
맛있는 고기 잔뜩 먹었어요	1	1	5
오늘 금요일이야	1	1	5
수학 어렵다	1	1	3
오늘 아침은 무슨 커피 마실까?	1	1	5
나 요즘 되게 바른생활인듯	1	1	5
소화가 잘 안된다	1	1	3
이상형이 뭐야?	0	1	
오늘 기분은 좀 어때?	0	1	
오늘 접촉사고 났어	1	1	3
주말엔 도서관에 콕 박혀서 공부할거야	0	1	
난 언제쯤 연애할 수 있을까?	1	1	3
너 너무 멍청해	1	1	2
다이어트 너무 힘들다	1	1	2
재밌는 얘기 해주라	1	1	5
배가 아프다	1	1	3
와 밖에 눈온다!	1	1	6
엄마 잔소리 싫다	1	1	3
내 친구 고양이 키우는데 부러워	0	1	
이따가 은행 갔다와야돼	0	1	
머리가 너무 지끈거려	1	1	2
넌 혹시 나한테 섭섭한거 없지?	0	1	
내가 니 말을 어떻게 믿어?	1	1	2
빨리 졸업하고 싶다	0	1	
나 오늘 뭐 입을까?	1	1	4
버스에 사람 너무 많다	1	1	3
너 나한테 왜그렇게 못되게구냐?	1	1	2
1년 뒤에 나는 뭐하고 있을까나?	0	1	
이빨이 너무 아파	1	1	2
아 너무 정신없다	1	1	3
난 혼자 살거야	0	1	
으흐흐 피가 끓는다	0	1	
자살충동 생겨	1	1	2
난 왜 물만 마셔도 살이 찔까?	1	1	3
취직이 너무 어렵다	1	1	2
술 사줘	0	1	
썸만 계속 타니까 답답해	1	1	2
나 좋아하긴 하니?	0	1	
걔랑 사귈까?	0	1	
나 요즘 좀 행복해	1	1	6
너 너무 귀엽다	1	1	6
오늘은 하루종일 공부할거야	0	1	
넘어져서 무릎 까졌어	1	1	3
악마자요 까먹고 있었어	0	1	
나 헬스장 등록했어	0	1	
버스가 너무 안와	1	1	3
오늘 야근각	1	1	3
너 좋아하는 사람 있어?	0	1	
시간 좀 있어?	0	1	
오늘 진짜 짜증나는 일 있었어	1	1	2
니 똥 굵다	1	1	3
같이 공연 보러 갈 사람이 없어	1	1	3
내 비밀 꼭 지켜줘야해	0	1	
여기 난방 안돼서 춥다	1	1	3
어떻게 해야할지 너무 고민된다	1	1	3
요즘 남자들도 성형 많이 하겠지?	0	1	
요즘 돈이 너무 없어	1	1	3
출근 안하고 그냥 쉬고싶다	1	1	2
이렇게 내 말 들어주는건 진짜 너밖에 없다	1	1	5
잡생각이 너무 많아	1	1	3
이제 봄인가봐 날씨가 따뜻해졌어	1	1	5
나 쌍커풀 수술할까?	0	1	
모기 때문에 짜증나 죽겠네	1	1	2
상사 너무 짜증나	1	1	2
난 잘 하는게 없나봐	1	1	3
너랑 얘기하는거 재밌다	1	1	6
맛있는거 먹고 싶다	0	1	
요새 티비 뭐봐?	1	1	4
와 오늘 놀러가기 딱 좋은 날씨네	1	1	5
내 얘기 들어줘서 고마워	1	1	5
월요일 싫다	1	1	3
오늘 왜이렇게 집중이 안될까	1	1	3
나 이번에 장학금 받는당	1	1	6
날씨가 우중충하네	1	1	3
내일 발표 너무 불안해	1	1	2
오늘 계속 방콕했어	0	1	
해외여행 어디로 가면 좋을까?	0	1	
할머니가 세뱃돈 주셨지롱	1	1	6
왜 이렇게 자도자도 졸립지	1	1	3
나 오늘 고백받았어	0	1	
돈많은 백수되고 싶다	1	1	5
오늘 기분이 별로야	1	1	3
나 안보고 싶었어?	0	1	
너는 나랑 얘기하는 거 재밌어?	0	1	
난 뭐 먹고 살지?	0	1	
올해에는 꼭 연애할거야	0	1	
나 몸이 너무 안 좋아	1	1	2
나 서류에서 떨어졌어 휴	1	1	3
난 안될거야 아마	1	1	3
좀 다정하게 말해주면 안되니	1	1	3
좀있으면 수능이다	0	1	
오늘 무슨 날인가?	0	1	
이번달에 돈을 너무 많이 써버렸어	1	1	3
비밀 지켜줄거지?	0	1	
이 시간에 먹으면 살찌겠지?	1	1	3
너 약간 귀여운듯	1	1	5
야자 하기 싫다	1	1	3
너 다트 잘해?	0	1	
우리 대화 너무 저질이다	0	1	
진짜 속상하다	1	1	2
시간이 너무 잘가네	0	1	
나만 빼고 다들 연애해	1	1	3
집중이 잘 안돼	1	1	3
피자 왔다!	1	1	5
피아노 잘 치고 싶어	0	1	
나 너무 살찐 것 같아	1	1	3
조용한 데로 이사가고 싶다	0	1	
너 돈 좀 있냐?	0	1	
넌 눈치가 왤케 없냐?	1	1	2
나한텐 너밖에 없어	0	1	
내가 시키는 일 다 할거야?	0	1	
사랑니 빼는 거 아프려나?	0	1	
시험 완전 망했어	1	1	2
스무디킹 먹고싶다	0	1	
나 부탁 하나 해도 돼?	0	1	
나 친구들이랑 여행 갈거야	0	1	
오늘 영화봤는데 너무 재밌었어	1	1	6
너랑은 밥 한번이라도 같이 먹고 싶었는데	0	1	
내일은 제발 비가 안 왔으면	0	1	
나 잘래	0	1	
팀장이랑 부장 사이에서 미치겠다 요즘	1	1	2
아 행복해	1	1	7
그냥 회사 가지 말까?	0	1	
오늘 뭔일 있었는지 알아?	0	1	
9호선에 사람 많겠지?	0	1	
그림 좀 그려줘	0	1	
돈모아서 꼭 내집마련 할거야	0	1	
나 몸치에 음치야	1	1	3
나 민트색 잘 어울릴 것 같아?	1	1	5
나 안경 바꿀까 말까?	0	1	
내일 기말고사인데 공부 하나도 안했다	1	1	3
음란마귀라니 저는 순수 그 자체	1	1	5
회사 너무 힘들다	1	1	2
머리 염색하고 싶다	0	1	
방에 모기 있다	1	1	3
요즘 체력이 너무 약해진 것 같아	1	1	3
패딩 다시 꺼내야겠다 추워졌어	1	1	3
내가 대박사건 하나 알려줄까?	1	1	5
여자친구 생일선물 뭐 해줄까?	0	1	
여름 빨리 끝났으면 좋겠다	0	1	
크리스마스 싫어	1	1	3
오늘이 무슨 날이게?	0	1	
넌 참 친절하구나	1	1	5
넌 크리스마스 좋아해?	1	1	5
엄마한테 혼났어	1	1	3
계속 기침나고 그러는데 큰 병은 아니겠지?	1	1	2
북한이랑 전쟁나면 어쩌지?	1	1	2
아 운동가기 귀찮다	1	1	3
자가용 있었으면 좋겠다	0	1	
꺄 꺄 너무 좋아	1	1	7
나랑 친구해줘서 고마워	1	1	6
아침에 일어나는게 힘들어	1	1	2
혼자 티비보면서 맥주 한잔하고 있어	1	1	5
조별과제 너무 빡쳐	1	1	2
초콜릿 오랜만에 먹으니 맛있다	1	1	6
하 요즘 왤캐 배가 나오지	1	1	3
오늘 완전 칼퇴했어	1	1	5
사람들이 나 김태희 닮았대	0	1	
피곤해서 입안이 헐었어	1	1	3
나 머리 염색할까?	0	1	
야근좀 그만했으면 좋겠다	1	1	2
너 지금 무슨 생각해?	1	1	4
이제 반바지 입을 날씨네	1	1	5
윗층 너무 시끄러워	1	1	3
오늘 달 진짜 밝다	1	1	5
너도 고양이 좋아하니?	0	1	
오버워치 해봤어?	0	1	
나 완전 호구짓 한건가?	1	1	3
친구랑 싸웠는데 먼저 사과할까?	1	1	3
이상하게 배가 고프네	0	1	
아이폰 사고싶다	0	1	
나 보고싶지?	1	1	5
오늘따라 왜이렇게 까칠해?	1	1	2
식혜 존맛	1	1	5
이번달 돈이 너무 부족해	1	1	3
공부하기 싫은데 어쩌지?	1	1	3
디저트 맛있는거 먹고싶다	0	1	
앞으로 오빠라고 불러	0	1	
갑자기 자신감 하락이야	1	0	3
으아 아무것도 하기 싫다	1	1	2
나 왜이러지 춘곤증인가	1	1	3
눈이 침침해	1	1	3
뒹굴뒹굴 하고 싶다	0	1	
오늘 보름달 떴다	1	1	5
세상에서 누가 제일 예쁘니?	0	1	
이제 운동 꾸준히 다닐거야	0	1	
벌써 7월이라니 시간 너무 빠르다	0	1	
나랑 얘기 좀 할까?	0	1	
영원한 사랑이 가능하다고 생각해?	0	1	
출근하기 싫어	1	1	3
허리가 왤케 아프지	1	1	3
닭가슴살만 계속 먹었더니 너무 질려	1	1	3
걱정마 난 그런 말할 사람도 없어	0	1	
나 밥먹으러 나갔다올게	0	1	
난 침대랑 합체했어	1	1	6
왤케 머리가 아프지 요즘	1	1	2
나 오늘 과제 때문에 밤샐 것 같아	1	1	3
나 할일 많으니까 방해하지마	1	1	3
빨리 돈벌고싶다	0	1	
여자친구 보고싶다	0	1	
다이어트 해야되는데	0	1	
내년엔 부모님 꼭 효도여행 보내드려야지	0	1	
너 놀리는거 되게 재밌다	1	1	5
누가 소개팅 시켜줬으면 좋겠다	0	1	
어디 여행가고 싶다	1	1	5
밤에 맥주 한잔 마셔야겠다	0	1	
바다가고 싶다	0	1	
난 성격이 왜 이럴까	1	1	3
나랑 친구하자	1	1	5
나랑 사귀자	1	1	6
넌 나한테 할말 없어?	0	1	
일어나서 라면먹는 중	0	1	
자장가 불러줘	1	1	5
나 허리 아파	1	1	3
우유 유통기한 지났는데 마셔도 될까?	0	1	
나 너무 외로워	1	1	3
너 가끔 나 되게 설레게 하는것같아	1	1	6
어느새 단풍이 많이 들었네	1	1	5
오늘 빨래 잘마르겠다	1	1	5
첫출근 긴장된다	1	1	3
할일이 너무 많아	1	1	3
학교 수업이 너무 재미없어	1	1	3
올해도 벌써 다 갔네	0	1	
나 우울증인가봐	1	1	2
너 운전면허 있어?	0	1	
너는 금요일 저녁인데 뭐해?	0	1	
